"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL571";"KETOPROFEN";"4.0";"254.29";"0";"3.11";"1, ketoprofen";"CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1";"IC50";"'='";"690.0";"nM";"6.16";"";"";"UO_0000065";"24.23";"0.44";"3.05";"11.33";"0";"CHEMBL997885";"Inhibition of COX2 in human whole blood";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156585";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";""
"CHEMBL16516";"";"None";"530.48";"2";"6.96";"20";"CS(=O)(=O)c1ccc(-c2sc(CCCc3ccc(Br)cc3)nc2-c2ccc(F)cc2)cc1";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"15.37";"0.35";"1.19";"17.34";"0";"CHEMBL665714";"Inhibition of human cyclooxygenase-2 (hCOX-2) enzyme.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";""
"CHEMBL126345";"";"None";"372.45";"0";"4.46";"2";"CS(=O)(=O)c1ccc(-c2[nH]c(SC#N)cc2-c2ccc(F)cc2)cc1";"IC50";"'='";"72000.0";"nM";"4.14";"";"";"UO_0000065";"11.12";"0.23";"-0.32";"5.62";"0";"CHEMBL769654";"Tested for inhibitory activity against Prostaglandin G/H synthase 2 from human";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128445";"1";"Scientific Literature";"J Med Chem";"1995";"None";""
"CHEMBL98193";"";"None";"315.39";"0";"2.84";"13i";"CN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)O1";"IC50";"'='";"5380.0";"nM";"5.27";"";"";"UO_0000065";"16.71";"0.33";"2.43";"11.30";"0";"CHEMBL769645";"Inhibitory concentration against Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134577";"1";"Scientific Literature";"J Med Chem";"2001";"None";""
"CHEMBL42180";"";"None";"398.38";"0";"4.41";"59";"Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F";"IC50";"'='";"109.65";"nM";"6.96";"";"";"UO_0000065";"17.47";"0.35";"2.55";"13.39";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";""
"CHEMBL255175";"";"None";"305.32";"0";"1.99";"9";"NS(=O)(=O)c1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"18.09";"0.36";"3.53";"4.78";"0";"CHEMBL932255";"Inhibition of COX2 in human whole blood assessed as effect on LPS-stimulated PGE2 production";"B";"BAO_0000357";"single protein format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141614";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";""
"CHEMBL51085";"EBSELEN";"3.0";"274.18";"None";"None";"ebselen";"O=c1c2ccccc2[se]n1-c1ccccc1";"IC50";"'='";"0.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL969894";"Inhibition of human COX2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156697";"1";"Scientific Literature";"Eur J Med Chem";"2008";"None";""
"CHEMBL118";"CELECOXIB";"4.0";"381.38";"0";"3.51";"1";"Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1";"IC50";"'='";"2900.0";"nM";"5.54";"";"";"UO_0000065";"14.52";"0.29";"2.03";"7.10";"0";"CHEMBL1021551";"Inhibition of PGHS2 in human whole blood assessed as inhibition of TXB2 production by radioimmunoassay";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139334";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL318410";"";"None";"439.94";"1";"5.72";"8";"COc1ccc2c(c1)c(CC(=O)OC1CCCCC1)c(C)n2C(=O)c1ccc(Cl)cc1";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"15.73";"0.30";"1.20";"12.03";"0";"CHEMBL762913";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (66 nM) using [14C]AA (50 uM) was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133457";"1";"Scientific Literature";"J Med Chem";"2000";"None";""
"CHEMBL4573875";"";"None";"295.26";"0";"2.79";"XIIb";"O=[N+]([O-])c1ccc(/C=N/c2nnc(-c3cccnc3)o2)cc1";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"22.62";"0.41";"3.89";"6.22";"0";"CHEMBL4313651";"Inhibition of human recombinant COX-2 by EIA method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4311968";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
