Chembl ID;Smiles;IC50;pIC50;MolWt;nHA;nHD;MolLogP;category
CHEMBL571;CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;690.0;-2.838849090737255;254.285;2;1;3.1057000000000015;active
CHEMBL126345;CS(=O)(=O)c1ccc(-c2[nH]c(SC#N)cc2-c2ccc(F)cc2)cc1;72000.0;-4.857332496431268;372.4460000000001;4;1;4.464480000000003;intermediate
CHEMBL98193;CN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)O1;5380.0;-3.7307822756663893;315.394;4;0;2.835400000000001;intermediate
CHEMBL42180;Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F;109.65;-2.0400086360135417;398.3810000000001;4;0;4.409120000000003;active
CHEMBL255175;NS(=O)(=O)c1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1;3000.0;-3.4771212547196626;305.315;5;1;1.9928000000000001;intermediate
CHEMBL118;Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1;2900.0;-3.462397997898956;381.3790000000001;4;1;3.5139200000000006;intermediate
CHEMBL4573875;O=[N+]([O-])c1ccc(/C=N/c2nnc(-c3cccnc3)o2)cc1;210.0;-2.322219294733919;295.25800000000004;7;0;2.790400000000001;active
CHEMBL4529762;Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1;53.0;-1.7242758696007892;416.2600000000001;8;0;4.236400000000002;active
CHEMBL314297;CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3F)CC3(CC3)C2)cc1;21.88;-1.3400473176613932;360.4250000000002;2;0;4.853100000000004;active
CHEMBL350422;Cc1nc(-c2ccc(Cl)s2)c(-c2ccc(S(N)(=O)=O)cc2)o1;20.0;-1.3010299956639813;354.8400000000001;5;1;3.6793200000000024;active
CHEMBL155781;CS(=O)(=O)c1ccc(-c2cnn(CCC3CC3)c(=O)c2-c2ccc(F)cc2)cc1;200.0;-2.3010299956639813;412.4860000000001;5;0;3.9200000000000035;active
CHEMBL270886;COc1ccc(/N=C/c2ccc(S(N)(=O)=O)cc2)cc1OC;4280.0;-3.6314437690131722;320.37000000000006;5;1;2.1018;intermediate
CHEMBL2096829;Cc1ccc(-c2ncc(Cl)cc2-c2ccc([S@+](C)[O-])cc2)cn1;3500.0;-3.5440680443502757;342.85100000000006;3;0;4.509820000000004;intermediate
CHEMBL364804;CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1;3.0;-0.47712125471966244;393.46800000000013;6;0;3.8655000000000026;potent
CHEMBL28913;CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1C;3.7;-0.568201724066995;427.4730000000001;5;1;4.235820000000002;active
CHEMBL127210;Cc1cc(=O)c(Oc2ccc(F)c(F)c2)c(-c2ccc(S(C)(=O)=O)cc2)o1;4429.96;-3.6463998048104953;392.3790000000001;5;0;4.089220000000004;intermediate
CHEMBL1288728;Cc1cc2c(c(C)c1Cl)C=C(C(=O)O)[C@@H](C(F)(F)F)O2;46.0;-1.662757831681574;306.667;2;1;3.748140000000002;active
