 ,Area,Mean,Min,Max,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,3.682,255.000,255,255,7.014,111.423,0.936,2.247,2.247,0.941,1.156,0.865,0.917
2,6.733,255.000,255,255,10.037,114.232,5.805,2.996,3.558,0.840,1.273,0.785,0.887
3,3.928,255.000,255,255,7.918,184.270,6.367,2.622,2.060,0.787,1.281,0.781,0.882
4,12.204,255.000,255,255,14.558,130.150,6.554,5.056,4.120,0.724,2.144,0.466,0.877
5,90.652,254.605,0,255,74.390,17.978,7.678,12.172,15.356,0.206,1.543,0.648,0.731
6,2.385,255.000,255,255,5.735,112.547,8.427,1.873,1.873,0.911,1.047,0.955,0.850
7,1.122,255.000,255,255,5.251,141.948,9.176,1.873,1.311,0.511,2.022,0.495,0.634
8,1.368,255.000,255,255,7.434,111.423,9.363,1.873,2.247,0.311,2.067,0.484,0.470
9,0.561,255.000,255,255,2.493,31.461,9.925,0.936,0.749,1.000,1.209,0.827,0.889
10,5.892,255.000,255,255,9.992,16.105,10.861,3.184,3.184,0.742,1.279,0.782,0.842
11,31.456,255.000,255,255,23.819,112.734,11.236,6.929,6.929,0.697,1.631,0.613,0.912
12,0.456,255.000,255,255,2.228,43.633,12.547,0.749,0.749,1.000,1.159,0.863,0.897
13,59.161,255.000,255,255,49.557,41.573,13.483,10.112,12.172,0.303,1.461,0.684,0.723
14,21.742,250.065,0,255,26.971,30.712,13.670,5.993,7.678,0.376,1.891,0.529,0.703
15,15.851,255.000,255,255,17.800,199.064,15.918,5.431,5.618,0.629,2.086,0.479,0.850
16,34.087,255.000,255,255,38.158,103.933,16.667,7.116,10.300,0.294,2.040,0.490,0.636
17,40.785,255.000,255,255,41.200,66.667,17.603,11.610,11.423,0.302,3.793,0.264,0.694
18,45.484,255.000,255,255,52.671,92.697,18.352,10.674,8.989,0.206,1.124,0.890,0.681
19,1.438,255.000,255,255,4.941,183.333,18.727,1.124,1.873,0.740,1.733,0.577,0.820
20,0.561,255.000,255,255,2.648,184.644,18.914,0.936,0.936,1.000,1.452,0.689,0.821
21,2.700,255.000,255,255,6.749,111.423,20.787,2.247,1.873,0.745,1.091,0.916,0.846
22,0.491,255.000,255,255,2.758,13.109,20.974,1.124,0.749,0.811,2.027,0.493,0.800
23,32.929,237.348,0,255,27.875,53.371,20.974,8.989,5.431,0.533,1.809,0.553,0.869
24,15.325,255.000,255,255,20.687,37.828,21.161,6.180,4.869,0.450,1.675,0.597,0.761
25,22.935,255.000,255,255,23.710,199.064,21.723,7.491,6.367,0.513,2.341,0.427,0.801
26,2.034,255.000,255,255,6.859,185.206,21.910,2.622,1.498,0.543,3.099,0.323,0.739
27,49.236,239.017,0,255,35.903,62.360,23.221,8.989,9.176,0.480,1.530,0.654,0.804
28,6.768,255.000,255,255,11.535,181.461,23.408,2.622,4.120,0.639,2.001,0.500,0.858
29,6.382,255.000,255,255,11.736,86.142,23.783,3.371,2.996,0.582,1.399,0.715,0.835
30,121.653,254.118,0,255,53.211,23.221,23.970,11.423,17.228,0.540,1.578,0.634,0.877
31,87.496,253.365,0,255,43.428,185.955,24.157,11.985,11.236,0.583,1.045,0.957,0.880
32,8.206,247.372,0,255,11.006,217.790,24.345,3.371,3.371,0.851,1.025,0.976,0.902
33,18.130,250.068,0,255,17.974,20.787,24.906,4.494,5.805,0.705,1.386,0.721,0.866
34,3.402,255.000,255,255,7.169,17.228,26.592,2.434,2.247,0.832,1.195,0.837,0.858
35,6.523,246.774,0,255,15.326,53.745,27.154,4.120,2.622,0.349,1.818,0.550,0.728
36,180.252,251.626,0,255,74.163,170.974,27.715,17.228,18.539,0.412,1.372,0.729,0.812
37,11.082,246.930,0,255,15.326,49.625,28.464,4.307,4.120,0.593,1.382,0.724,0.827
38,111.553,255.000,255,255,51.641,79.963,28.652,20.787,7.491,0.526,3.151,0.317,0.927
39,118.076,231.977,0,255,74.920,8.427,29.775,11.798,18.352,0.264,1.756,0.570,0.725
40,0.912,255.000,255,255,3.397,37.266,31.273,0.936,1.311,0.993,1.271,0.787,0.881
41,0.491,255.000,255,255,2.448,103.371,31.648,0.562,0.936,1.000,1.662,0.602,0.966
42,984.023,251.365,0,255,165.959,36.891,32.584,61.798,25.281,0.449,2.900,0.345,0.905
43,12.449,251.408,0,255,14.093,168.539,32.772,3.371,5.243,0.788,1.646,0.607,0.904
44,235.415,248.011,0,255,120.762,172.285,34.082,35.206,22.472,0.203,4.220,0.237,0.587
45,4.103,255.000,255,255,7.389,98.876,35.206,2.247,2.434,0.944,1.142,0.876,0.903
46,27.844,253.715,0,255,25.053,19.850,35.393,4.869,8.989,0.557,2.151,0.465,0.823
47,206.343,255.000,255,255,82.400,17.978,39.888,21.536,20.037,0.382,2.258,0.443,0.835
48,3.928,255.000,255,255,7.763,165.543,41.386,1.873,2.996,0.819,1.545,0.647,0.918
49,61.650,255.000,255,255,38.725,117.603,42.697,8.614,13.670,0.517,1.859,0.538,0.809
50,3.787,255.000,255,255,7.389,161.610,45.506,2.809,1.873,0.872,1.522,0.657,0.908
51,3.261,255.000,255,255,8.932,134.270,46.255,2.434,2.060,0.514,1.081,0.925,0.782
52,267.152,244.021,0,255,186.754,180.337,46.442,25.281,26.592,0.096,1.528,0.654,0.580
53,238.817,249.795,0,255,141.347,38.951,46.629,18.539,23.408,0.150,1.607,0.622,0.692
54,1.122,255.000,255,255,4.037,127.154,46.629,1.311,1.124,0.865,1.370,0.730,0.842
55,0.421,255.000,255,255,2.228,6.554,47.378,0.936,0.562,1.000,1.579,0.633,0.889
56,1.192,255.000,255,255,4.192,208.614,47.378,1.311,1.498,0.853,1.719,0.582,0.840
57,86.409,248.170,0,255,50.178,107.678,48.502,11.985,15.543,0.431,2.853,0.350,0.827
58,469.918,253.706,0,255,110.627,75.094,48.689,30.150,39.888,0.483,3.459,0.289,0.907
59,332.941,252.529,0,255,200.358,122.659,48.689,24.719,30.150,0.104,1.674,0.597,0.653
60,8.276,255.000,255,255,10.960,16.292,48.876,3.558,3.184,0.866,1.261,0.793,0.937
61,12.519,255.000,255,255,14.842,165.169,49.251,3.558,5.618,0.714,2.052,0.487,0.887
62,60.914,230.924,0,255,35.082,10.487,49.813,5.993,13.109,0.622,2.404,0.416,0.909
63,25.775,252.571,0,255,24.833,56.742,50.000,6.367,5.993,0.525,1.253,0.798,0.872
64,53.339,253.994,0,255,40.012,212.172,50.000,8.989,10.674,0.419,1.284,0.779,0.773
65,13.501,255.000,255,255,17.180,143.820,53.933,6.742,3.558,0.575,2.463,0.406,0.851
