 ,Area,Mean,Min,Max,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,13.020,255.000,255,255,24.808,382.919,3.727,8.385,6.522,0.266,3.243,0.308,0.441
2,32.985,255.000,255,255,31.170,260.870,4.658,6.522,10.248,0.427,1.720,0.581,0.673
3,23.437,255.000,255,255,40.393,273.913,6.522,9.317,8.385,0.181,1.474,0.678,0.462
4,34.721,255.000,255,255,22.719,681.056,7.453,7.453,7.453,0.845,1.232,0.812,0.808
5,56.421,255.000,255,255,30.172,1181.366,11.180,10.248,8.385,0.779,1.746,0.573,0.872
6,43.401,239.700,0,255,42.802,261.801,15.839,12.112,8.385,0.298,2.493,0.401,0.602
7,24.305,255.000,255,255,33.259,280.435,21.429,9.317,7.453,0.276,2.305,0.434,0.571
8,322.904,253.629,0,255,106.328,316.770,21.429,15.839,33.540,0.359,2.690,0.372,0.751
9,12.152,255.000,255,255,17.994,1060.248,24.224,4.658,6.522,0.472,1.824,0.548,0.609
10,36.457,255.000,255,255,26.445,286.025,28.882,8.385,7.453,0.655,1.182,0.846,0.785
11,41.665,255.000,255,255,28.535,1109.627,28.882,7.453,10.248,0.643,1.502,0.666,0.762
12,54.685,250.952,0,255,53.663,247.826,32.609,14.907,10.248,0.239,1.346,0.743,0.575
13,77.254,249.270,0,255,75.290,227.329,33.540,18.634,15.839,0.171,1.436,0.696,0.431
14,142.356,250.335,0,255,110.732,276.708,35.404,33.540,15.839,0.146,4.794,0.209,0.572
15,15.624,255.000,255,255,29.307,56.832,37.267,9.317,4.658,0.229,2.064,0.485,0.500
16,62.498,255.000,255,255,58.387,259.006,40.994,19.565,11.180,0.230,3.113,0.321,0.539
17,17.360,242.250,0,255,26.672,188.199,54.037,6.522,6.522,0.307,1.957,0.511,0.563
18,4834.883,253.855,0,255,650.050,141.615,59.627,145.342,71.739,0.144,2.399,0.417,0.708
19,14.756,255.000,255,255,27.763,324.224,60.559,11.180,6.522,0.241,6.762,0.148,0.523
20,65.970,255.000,255,255,50.708,1176.708,61.491,10.248,17.702,0.322,3.695,0.271,0.628
21,636.260,255.000,255,255,99.740,899.068,64.286,28.882,30.745,0.804,1.217,0.822,0.917
22,48.609,250.446,0,255,31.170,1131.988,65.217,7.453,11.180,0.629,1.613,0.620,0.757
23,38.193,255.000,255,255,37.984,983.851,68.012,10.248,9.317,0.333,2.193,0.456,0.624
24,14.756,255.000,255,255,18.446,521.739,74.534,6.522,5.590,0.545,2.582,0.387,0.680
25,48.609,255.000,255,255,36.440,301.863,76.398,8.385,10.248,0.460,1.411,0.709,0.747
26,72.046,255.000,255,255,50.162,878.571,78.261,11.180,13.043,0.360,1.838,0.544,0.697
27,205.721,252.848,0,255,98.648,289.752,82.919,20.497,21.429,0.266,1.803,0.555,0.618
28,12.152,255.000,255,255,22.945,977.329,85.714,5.590,5.590,0.290,1.840,0.543,0.528
29,24.305,236.786,0,255,25.354,1116.149,95.963,6.522,8.385,0.475,1.920,0.521,0.683
30,26.909,255.000,255,255,25.034,1020.186,96.894,9.317,7.453,0.540,3.138,0.319,0.674
31,236.102,254.062,0,255,83.422,898.137,100.621,28.882,21.429,0.426,2.754,0.363,0.760
32,16.492,255.000,255,255,18.220,55.901,105.280,5.590,6.522,0.624,2.976,0.336,0.792
33,122.391,253.191,0,255,56.618,102.484,109.938,14.907,13.975,0.480,1.653,0.605,0.760
34,48.609,250.446,0,255,40.167,527.329,109.938,7.453,11.180,0.379,1.727,0.579,0.713
35,32.117,220.541,0,255,59.611,1022.050,109.938,14.907,9.317,0.114,3.158,0.317,0.387
36,31.249,255.000,255,255,21.947,306.522,115.528,8.385,5.590,0.815,1.888,0.530,0.828
37,138.016,255.000,255,255,55.300,138.820,119.255,19.565,13.043,0.567,1.609,0.621,0.776
38,132.807,255.000,255,255,51.028,293.478,120.186,13.975,13.043,0.641,1.089,0.918,0.845
39,1223.911,250.117,0,255,524.979,34.472,121.118,100.621,78.261,0.056,3.687,0.271,0.424
40,28.645,255.000,255,255,21.401,188.199,125.776,5.590,8.385,0.786,2.063,0.485,0.846
41,143.224,244.182,0,255,80.560,1011.801,125.776,19.565,15.839,0.277,1.762,0.567,0.657
42,20.833,255.000,255,255,17.448,251.553,134.161,5.590,4.658,0.860,1.248,0.801,0.873
43,19.096,255.000,255,255,22.945,142.547,150.000,4.658,7.453,0.456,1.619,0.618,0.688
44,10.416,255.000,255,255,23.491,422.981,157.453,5.590,7.453,0.237,1.845,0.542,0.393
45,593.727,233.004,0,255,219.734,1023.913,182.609,34.472,35.404,0.155,1.147,0.872,0.673
46,65.102,255.000,255,255,40.167,86.646,184.472,13.043,11.180,0.507,1.668,0.599,0.743
47,52.081,255.000,255,255,35.123,95.963,188.199,12.112,8.385,0.531,1.950,0.513,0.710
48,20.833,255.000,255,255,19.538,65.217,190.062,6.522,6.522,0.686,2.058,0.486,0.787
49,194.437,229.955,0,255,114.327,441.615,190.994,34.472,14.907,0.187,3.511,0.285,0.524
50,324.640,255.000,255,255,103.599,22.360,200.311,20.497,33.540,0.380,2.714,0.369,0.751
51,40.797,255.000,255,255,50.030,578.571,212.422,5.590,19.565,0.205,5.645,0.177,0.570
52,51.213,255.000,255,255,39.847,457.453,235.714,13.043,13.975,0.405,4.476,0.223,0.702
53,27.777,255.000,255,255,21.175,394.099,237.578,9.317,3.727,0.778,2.385,0.419,0.901
54,50.345,255.000,255,255,26.445,476.087,241.304,8.385,8.385,0.905,1.276,0.784,0.879
55,33.853,255.000,255,255,40.807,531.056,247.826,3.727,17.702,0.255,5.688,0.176,0.672
56,53.817,255.000,255,255,36.760,22.360,261.801,9.317,13.043,0.500,1.894,0.528,0.705
57,57.289,247.273,0,255,39.076,975.466,263.665,12.112,9.317,0.471,1.262,0.793,0.698
58,11.284,255.000,255,255,16.903,997.826,272.981,2.795,6.522,0.496,2.387,0.419,0.743
59,368.909,246.000,0,255,173.525,1104.037,296.273,45.652,23.292,0.154,3.820,0.262,0.584
60,14.756,255.000,255,255,25.354,409.938,301.863,6.522,9.317,0.288,4.939,0.202,0.540
61,179.681,255.000,255,255,63.658,440.683,302.795,20.497,15.839,0.557,1.800,0.555,0.820
62,23.437,255.000,255,255,35.123,410.870,312.112,6.522,10.248,0.239,2.367,0.422,0.551
63,41.665,249.688,0,255,38.304,1056.522,326.087,12.112,8.385,0.357,1.979,0.505,0.615
64,27.777,255.000,255,255,30.398,423.913,328.882,5.590,12.112,0.378,3.448,0.290,0.610
65,36.457,248.929,0,255,28.855,1112.422,336.335,6.522,10.248,0.550,2.067,0.484,0.730
66,19.096,255.000,255,255,24.262,422.981,343.789,7.453,5.590,0.408,2.354,0.425,0.638
67,26.909,255.000,255,255,25.580,31.677,345.652,7.453,7.453,0.517,1.914,0.523,0.681
68,63.366,255.000,255,255,45.211,20.497,359.627,12.112,9.317,0.390,1.686,0.593,0.695
69,10.416,255.000,255,255,11.632,2.795,367.081,4.658,2.795,0.967,1.631,0.613,0.889
70,147.564,252.000,0,255,65.069,993.168,403.416,23.292,9.317,0.438,2.691,0.372,0.823
71,12.152,255.000,255,255,15.585,1172.050,425.776,5.590,4.658,0.629,2.184,0.458,0.683
72,15.624,255.000,255,255,23.491,127.640,433.230,6.522,5.590,0.356,1.377,0.726,0.554
73,15.624,255.000,255,255,18.766,993.168,436.957,6.522,5.590,0.558,3.415,0.293,0.706
74,18.228,255.000,255,255,24.036,752.795,455.590,7.453,6.522,0.396,2.749,0.364,0.618
75,36.457,248.929,0,255,36.214,757.453,461.180,8.385,11.180,0.349,1.742,0.574,0.564
76,26.041,238.000,0,255,35.123,944.720,472.360,5.590,12.112,0.265,2.916,0.343,0.488
77,36.457,255.000,255,255,34.897,970.807,477.950,6.522,13.043,0.376,2.711,0.369,0.656
78,74.650,255.000,255,255,43.574,830.124,488.199,14.907,7.453,0.494,2.073,0.482,0.785
79,104.163,255.000,255,255,42.576,142.547,492.857,12.112,14.907,0.722,1.877,0.533,0.860
80,109.371,246.905,0,255,68.024,954.037,503.106,12.112,19.565,0.297,2.628,0.380,0.720
81,85.934,255.000,255,255,41.711,810.559,505.901,13.043,13.043,0.621,2.631,0.380,0.825
82,140.620,250.278,0,255,104.371,767.702,507.764,17.702,27.950,0.162,3.411,0.293,0.551
83,51.213,250.678,0,255,34.351,4.658,518.944,13.043,6.522,0.545,2.006,0.498,0.766
84,13.020,238.000,0,255,14.493,449.068,518.944,5.590,4.658,0.779,2.222,0.450,0.769
85,72.914,242.857,0,255,44.892,950.311,522.671,13.975,11.180,0.455,1.531,0.653,0.700
86,39.929,255.000,255,255,22.719,490.062,531.056,6.522,8.385,0.972,1.451,0.689,0.902
87,25.173,255.000,255,255,29.307,757.453,532.919,11.180,8.385,0.368,4.951,0.202,0.611
88,15.624,240.833,0,255,17.129,761.180,543.168,6.522,5.590,0.669,2.749,0.364,0.750
89,14.756,255.000,255,255,16.357,920.497,572.050,4.658,5.590,0.693,1.408,0.710,0.723
90,1901.836,254.767,0,255,287.399,163.043,596.273,73.602,64.286,0.289,2.366,0.423,0.712
91,82.462,249.632,0,255,83.063,462.112,617.702,31.677,11.180,0.150,7.124,0.140,0.576
92,70.310,255.000,255,255,37.306,799.379,618.634,12.112,10.248,0.635,2.034,0.492,0.848
93,60.762,255.000,255,255,34.031,145.342,621.429,10.248,10.248,0.659,1.491,0.671,0.800
94,46.873,255.000,255,255,46.303,803.106,627.019,18.634,8.385,0.275,6.439,0.155,0.659
95,196.173,255.000,255,255,96.652,428.571,627.950,32.609,14.907,0.264,3.136,0.319,0.596
96,495.641,252.320,0,255,106.873,411.801,652.174,34.472,21.429,0.545,1.703,0.587,0.876
97,15.624,226.667,0,255,16.903,409.938,669.876,5.590,4.658,0.687,1.226,0.816,0.750
98,12.152,218.571,0,255,16.131,395.963,670.807,6.522,3.727,0.587,1.916,0.522,0.700
99,15.624,255.000,255,255,14.813,765.839,699.689,3.727,5.590,0.895,1.630,0.613,0.857
100,16.492,255.000,255,255,22.173,788.199,706.211,7.453,6.522,0.422,2.337,0.428,0.594
101,22.569,255.000,255,255,21.401,869.255,724.845,5.590,6.522,0.619,1.786,0.560,0.800
102,47.741,255.000,255,255,31.170,1060.248,725.776,11.180,9.317,0.617,2.498,0.400,0.791
103,36.457,248.929,0,255,23.264,0.932,739.752,6.522,7.453,0.846,1.152,0.868,0.884
104,12.152,255.000,255,255,15.039,252.484,740.683,3.727,5.590,0.675,1.531,0.653,0.737
105,50.345,255.000,255,255,28.535,1113.354,747.205,11.180,7.453,0.777,1.922,0.520,0.866
106,15.624,255.000,255,255,26.672,957.764,750.932,5.590,5.590,0.276,1.262,0.792,0.590
